4c1000: GL-equivalent to harness Hanner mask 80002000a via T=[5/7,2/7,1/7,-3/7; 3/7,4/7,-5/7,1/7; 5/7,2/7,1/7,4/7; -1/7,-6/7,-3/7,2/7]
882080: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,1/2; 1/2,1/2,-1/2,1/2; -1/2,0,-1/2,-1; -1/2,-1,-1/2,0]
88220: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/2,1/2,1/2,-1/2; 1,1,0,0; 0,0,1,1]
88280: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,0; 1,1,0,0; 0,0,1,1]
888200: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/2,0,-1/2; 0,1/2,-1,-1/2; 1/2,0,1/2,1; -1/2,-1,-1/2,0]
89010: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1/2,-1/2; 1,1,0,0; 0,0,1/2,1/2]
8a010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1/2,1/2; 0,0,1/2,-1/2; 0,0,-1/2,-1/2; -2,-2,-1/2,-1/2]
8a020: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,1/2,1/2,1/2; 1/2,1/2,1/2,-1/2; 1/2,1/2,-1/2,-1/2; -3/2,-3/2,-1/2,-1/2]
8a040: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,1/2,1/2; 1,1,1/2,-1/2; 1,1,-1/2,-1/2; -1,-1,-1/2,-1/2]
8a100: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,1/2,1/2; 0,0,1/2,-1/2; 1,1,-1/2,-1/2; -1,-1,-1/2,-1/2]
8a200: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,-1/2,1/2,1/2; 1/2,1/2,1/2,-1/2; 3/2,3/2,-1/2,-1/2; -1/2,-1/2,-1/2,-1/2]
8b000: GL-equivalent to harness Hanner mask 80002000a via T=[0,-1,1/2,1/2; 0,0,1/2,-1/2; 2,2,-1/2,-1/2; 0,0,-1/2,-1/2]
8c010: GL-equivalent to harness Hanner mask 80002000a via T=[3,2,1,1; -1,-1,0,-1; -1,-1,-1,-1; -3,-3,-1,-1]
8c040: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,1,1; 1,1,0,-1; 1,1,-1,-1; -1,-1,-1,-1]
8c080: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,1; -1,-1,0,-1; 0,0,-1,-1; -2,-2,-1,-1]
8c200: GL-equivalent to harness Hanner mask 80002000a via T=[0,-1,1,1; 1,1,0,-1; 2,2,-1,-1; 0,0,-1,-1]
8c400: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,1,1; -1,-1,0,-1; 1,1,-1,-1; -1,-1,-1,-1]
8d000: GL-equivalent to harness Hanner mask 80002000a via T=[-1,-2,1,1; 1,1,0,-1; 3,3,-1,-1; 1,1,-1,-1]
900101: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1,0; 1/2,1,1/2,1; 1/2,1,1/2,-1]
900280: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,-1,0; 1/2,1,1/2,0; 0,0,0,1]
a000820: B4-equivalent to harness Hanner (8 vertices, mask 80002000a)
a012: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,1,1; 3,2,1,0; -1,0,-1,0]
a014: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 3,2,1,0; -1,0,-1,0]
a018: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-1,1; 3,2,1,0; -1,0,-1,0]
a022: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 2,1,1,1; 3,2,1,0; -1,0,-1,0]
a024: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,1; 3,2,1,0; -1,0,-1,0]
a082: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 2,1,1,1; 2,1,1,0; 0,1,-1,0]
a084: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 2,1,1,0; 0,1,-1,0]
a088: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1,-1,1; 2,1,1,0; 0,1,-1,0]
a104: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,1; 2,1,1,0; 0,1,-1,0]
a402: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,0,1,1; 1,0,1,0; 1,2,-1,0]
a404: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 1,0,1,0; 1,2,-1,0]
a408: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,-1,1; 1,0,1,0; 1,2,-1,0]
a410: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,1; 1,1,0,0; 1,0,1,0]
a420: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1/2,1/2,1; 1,1,0,0; 1,0,1,0]
a80100: GL-equivalent to harness Hanner mask 80002000a via T=[3/4,0,-1/4,1/2; 1/4,0,-3/4,-1/2; 3/4,1,3/4,-1/2; -1/4,-1,-1/4,-1/2]
a802: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,-1,1,1; 1,0,1,0; 1,2,-1,0]
a804: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,1; 1,0,1,0; 1,2,-1,0]
a810: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1/2,-1/2,1; 1,1,0,0; 1,0,1,0]
a820: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,1; 1,1,0,0; 1,0,1,0]
c2010: GL-equivalent to harness Hanner mask 80002000a via T=[3/2,3/4,1/2,1/4; -1/2,-1/4,1/2,-3/4; 1/2,1/4,-1/2,-1/4; -3/2,-7/4,-1/2,-1/4]
c2020: GL-equivalent to harness Hanner mask 80002000a via T=[5/4,1/2,1/2,1/4; 1/4,1/2,1/2,-3/4; 3/4,1/2,-1/2,-1/4; -5/4,-3/2,-1/2,-1/4]
c2040: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/4,1/2,1/4; 1,5/4,1/2,-3/4; 1,3/4,-1/2,-1/4; -1,-5/4,-1/2,-1/4]
c2080: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/4,1/2,1/4; -1,-3/4,1/2,-3/4; 1,3/4,-1/2,-1/4; -1,-5/4,-1/2,-1/4]
c2100: GL-equivalent to harness Hanner mask 80002000a via T=[3/4,0,1/2,1/4; -1/4,0,1/2,-3/4; 5/4,1,-1/2,-1/4; -3/4,-1,-1/2,-1/4]
c2200: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,-1/4,1/2,1/4; 1/2,3/4,1/2,-3/4; 3/2,5/4,-1/2,-1/4; -1/2,-3/4,-1/2,-1/4]
14048: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 2,2,1,-1; 3/2,1,1/2,1/2; 1/2,1,-1/2,-1/2]
14050: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; 2,1,1,1]
14210: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2/3,4/3,-2/3; 1,1,0,0; 1,1/3,2/3,2/3]
15020: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,2/3,-4/3; 1,1,0,0; 1/3,-1/3,2/3,2/3]
18018: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,2/3,-2/3; 7/3,2,2/3,1/3; -1/3,0,-2/3,-1/3]
18022: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-2,-2,-2; 4,3,2,1; -2,-1,-2,-1]
18028: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2/3,2/3,-2/3; 2,5/3,2/3,1/3; 0,1/3,-2/3,-1/3]
18030: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; 7,5,4,2]
18048: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 5/3,4/3,2/3,-2/3; 5/3,4/3,2/3,1/3; 1/3,2/3,-2/3,-1/3]
18088: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,-2/3,2/3,-2/3; 5/3,4/3,2/3,1/3; 1/3,2/3,-2/3,-1/3]
18108: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,2/3,-2/3; 4/3,1,2/3,1/3; 2/3,1,-2/3,-1/3]
18110: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,2/3,-2/3; 1,1,0,0; 5/3,1,4/3,2/3]
18208: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2/3,2/3,-2/3; 1,2/3,2/3,1/3; 1,4/3,-2/3,-1/3]
18220: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2/3,2/3,-2/3; 1,1,0,0; 1,1/3,4/3,2/3]
18408: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-4/3,2/3,-2/3; 1,2/3,2/3,1/3; 1,4/3,-2/3,-1/3]
18420: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2/3,-2/3,-4/3; 1,1,0,0; 1,1/3,4/3,2/3]
18808: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,-2/3,2/3,-2/3; 2/3,1/3,2/3,1/3; 4/3,5/3,-2/3,-1/3]
18840: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,-2/3,-4/3; 1,1,0,0; 1/3,-1/3,4/3,2/3]
18880: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,-2/3,2/3,-2/3; 1,1,0,0; 1/3,-1/3,4/3,2/3]
19008: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,2/3,-2/3; 1/3,0,2/3,1/3; 5/3,2,-2/3,-1/3]
19010: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,2/3,-2/3; 1,1,0,0; 1/3,0,2/3,1/3]
19100: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,2/3,-2/3; 1,1,0,0; -1/3,-1,4/3,2/3]
200c8: GL-equivalent to harness Hanner mask 80002000a via T=[5/3,2/3,1/3,-1/3; 1/3,-2/3,-1/3,1/3; 2/3,2/3,1/3,2/3; 0,0,-1,0]
20620: GL-equivalent to harness Hanner mask 80002000a via T=[4/3,1/3,1/3,-1/3; 2/3,-1/3,-1/3,1/3; 2/3,2/3,-1/3,1/3; 0,0,1,1]
20c8: GL-equivalent to harness Hanner mask 80002000a via T=[5/3,2/3,1/3,-1/3; 1/3,-2/3,-1/3,1/3; 5/3,2/3,1/3,2/3; -1,0,-1,0]
22021: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 0,0,-1,1; 2,2,1,-1]
22022: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 2,1,1,1; 3/2,3/2,1/2,-1/2; 1/2,1/2,-1/2,1/2]
220c0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 5/3,2/3,4/3,2/3; 1,1,0,0; 1/3,1/3,2/3,-2/3]
24012: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 5,4,2,2; 0,0,0,-1; 2,2,0,1]
24082: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,2; 0,0,0,-1; 2,2,0,1]
2608: GL-equivalent to harness Hanner mask 80002000a via T=[4/3,1/3,1/3,-1/3; 2/3,-1/3,-1/3,1/3; 4/3,1/3,1/3,2/3; 0,1,-1,0]
3022: GL-equivalent to harness Hanner mask 80002000a via T=[2,1/3,1/3,1/3; 0,-1/3,-1/3,-1/3; 0,1,0,-1; 0,1/3,-2/3,1/3]
4092: GL-equivalent to harness Hanner mask 80002000a via T=[4,2,1,1; -2,-2,-1,-1; -3,-2,-1,-2; -1,0,-1,0]
40c8: GL-equivalent to harness Hanner mask 80002000a via T=[2,2/3,1/3,-1/3; 0,-2/3,-1/3,1/3; 1,2/3,1/3,2/3; -1,0,-1,0]
414010: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 4,3,1,2; -3,-2,-2,-1; 1,0,0,1]
415000: GL-equivalent to harness Hanner mask 80002000a via T=[2/3,1/3,1/3,-2/3; 0,1,-1,0; 1,0,0,1; -1/3,-2/3,-2/3,1/3]
418400: GL-equivalent to harness Hanner mask 80002000a via T=[0,-1/3,-1/3,-2/3; 0,1,-1,0; 2,1,1,1; 0,-1/3,-1/3,1/3]
420202: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,2/3,-2/3,-2/3; 1,1,1,0; 1/3,1/3,-1/3,2/3]
420a00: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,2/3,-2/3,-2/3; 2/3,2/3,1/3,1/3; 0,0,1,-1]
424040: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; -1,0,-1,-1; -1/2,-1/2,-1,1/2; -3/2,-3/2,-1,-1/2]
428020: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; -4,-3,-3,-2; 1,1,0,1; -3,-3,-2,-1]
428800: GL-equivalent to harness Hanner mask 80002000a via T=[2/3,-1/3,1/3,-2/3; 0,1,-1,0; 1,1,0,1; -1/3,-1/3,-2/3,1/3]
440042: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,0,-2/3,-2/3; 5/3,2,4/3,1/3; -1/3,0,-2/3,1/3]
440044: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,0,-2/3; 4/3,5/3,1,1/3; -2/3,-1/3,-1,1/3]
440102: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,0,-2/3,-2/3; 1,1,1,0; 1/3,1,-1/3,2/3]
440440: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,0,-2/3,-2/3; 2/3,1,1/3,1/3; 1/3,0,2/3,-1/3]
440500: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,0,-2/3,-2/3; 2/3,1,1/3,1/3; 0,-1,1,-1]
440840: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,1/3,-1/3,-2/3; 1/2,5/6,1/6,1/3; 1/2,1/6,5/6,-1/3]
442020: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 1,1,1,-1; -3/2,-1,-2,1/2; -1/2,-1,0,-1/2]
442040: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 2/3,1,1/3,-2/3; -4/3,-1,-5/3,1/3; -2/3,-1,-1/3,-1/3]
4428: GL-equivalent to harness Hanner mask 80002000a via T=[5/3,1/3,1/3,-1/3; 1/3,-1/3,-1/3,1/3; 1,1,0,1; -1/3,1/3,-2/3,-1/3]
444040: GL-equivalent to harness Hanner mask 80002000a via T=[2,1,1,0; 0,1/3,-1/3,-2/3; -1,-2/3,-4/3,1/3; -1,-4/3,-2/3,-1/3]
4482: GL-equivalent to harness Hanner mask 80002000a via T=[3,1,1,1; -1,-1,-1,-1; -2,-1,-1,-2; 0,1,-1,0]
4608: GL-equivalent to harness Hanner mask 80002000a via T=[5/3,1/3,1/3,-1/3; 1/3,-1/3,-1/3,1/3; 2/3,1/3,1/3,2/3; 0,1,-1,0]
4812: GL-equivalent to harness Hanner mask 80002000a via T=[2,2/3,1/3,1/3; 0,-2/3,-1/3,-1/3; 0,0,0,-1; 0,2/3,-2/3,1/3]
488200: GL-equivalent to harness Hanner mask 80002000a via T=[5/6,1/3,1/6,-1/3; -1/6,1/3,-5/6,-1/3; 5/6,1/3,1/6,2/3; -1/2,-1,-1/2,0]
4c0080: GL-equivalent to harness Hanner mask 80002000a via T=[0,-2/3,-1/3,-2/3; 0,0,-1,0; 2,2,1,1; 0,-2/3,-1/3,1/3]
4c0800: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,0,-1/2; 1/2,2/3,-2/3,1/6; 1,2/3,1/3,2/3; 0,-2/3,-1/3,1/3]
600204: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,0,-2/3; 2/3,4/3,1,-1/3; 0,0,-1,1]
601002: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,-1/3,-1/3; 1/3,2/3,2/3,-1/3; 1/3,2/3,-1/3,2/3]
601040: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,0,-2/3; 1/3,2/3,0,1/3; 1/3,2/3,1,-2/3]
604200: GL-equivalent to harness Hanner mask 80002000a via T=[5/4,1/2,3/4,-1/2; 1/4,1/2,-1/4,-1/2; 0,0,-1,1; -1/2,-1,-1/2,0]
608040: GL-equivalent to harness Hanner mask 80002000a via T=[4/3,2/3,1/2,-1/6; 0,0,-1/2,-1/2; 0,0,-1/2,1/2; -2/3,-4/3,-1/2,-1/6]
6082: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 5,2,2,2; 2,1,1,0; 0,1,-1,0]
608200: GL-equivalent to harness Hanner mask 80002000a via T=[7/6,1/3,1/2,-1/3; 1/6,1/3,-1/2,-1/3; 1/6,1/3,-1/2,2/3; -1/2,-1,-1/2,0]
609000: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,1/2,-1/2; 1/3,2/3,-1/2,-1/6; 1/3,2/3,-1/2,5/6; -1/3,-2/3,-1/2,1/6]
80089000: GL-equivalent to harness Hanner mask 80002000a via T=[2/3,1/6,1/6,-1/3; 0,1/2,-1/2,0; 2/3,1/6,1/6,2/3; 0,-1/2,-1/2,0]
800c0400: GL-equivalent to harness Hanner mask 80002000a via T=[1/3,-1/3,-1/3,-2/3; 1/3,2/3,-1/3,1/3; 1,1,1,1; 1/3,-1/3,-1/3,1/3]
880108: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,-2/3,2/3; 2/3,1,2/3,1/3; 0,1,0,-1]
881010: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,0,-2/3,2/3; 1/3,1,1/3,-1/3; 1/3,0,1/3,2/3]
881080: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,1/3,-2/3,1/3; 1/3,5/6,1/3,-1/6; 1/3,-1/6,1/3,5/6]
88210: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,1/3,2/3,-1/3; 1,1,0,0; 1/3,1/3,2/3,2/3]
9000c0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/3,-2/3,-4/3,-2/3; 2/3,4/3,2/3,1/3; 0,0,0,-1]
900801: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,-2/3,0; 1/3,2/3,1/3,1; 1/3,2/3,1/3,-1]
901400: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/3,2/3,-2/3,0; 1/3,2/3,1/3,0; 0,0,0,1]
a80800: GL-equivalent to harness Hanner mask 80002000a via T=[5/6,1/6,-1/6,1/2; 1/2,1/2,-1/2,-1/2; 1/2,1/2,1/2,-1/2; -1/6,-5/6,-1/6,-1/2]
c4010: GL-equivalent to harness Hanner mask 80002000a via T=[5/3,1,2/3,1/3; -1,-1,0,-1; 1/3,0,-2/3,-1/3; -5/3,-2,-2/3,-1/3]
c4020: GL-equivalent to harness Hanner mask 80002000a via T=[4/3,2/3,2/3,1/3; 0,0,0,-1; 2/3,1/3,-2/3,-1/3; -4/3,-5/3,-2/3,-1/3]
c4040: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/3,2/3,1/3; 1,1,0,-1; 1,2/3,-2/3,-1/3; -1,-4/3,-2/3,-1/3]
c4080: GL-equivalent to harness Hanner mask 80002000a via T=[1,1/3,2/3,1/3; -1,-1,0,-1; 1,2/3,-2/3,-1/3; -1,-4/3,-2/3,-1/3]
c4100: GL-equivalent to harness Hanner mask 80002000a via T=[2/3,0,2/3,1/3; 0,0,0,-1; 4/3,1,-2/3,-1/3; -2/3,-1,-2/3,-1/3]
c4400: GL-equivalent to harness Hanner mask 80002000a via T=[1/3,-1/3,2/3,1/3; -1,-1,0,-1; 5/3,4/3,-2/3,-1/3; -1/3,-2/3,-2/3,-1/3]
110041000: GL-equivalent to harness Hanner mask 80002000a via T=[2/3,1/3,0,-1/3; 0,1/3,-2/3,1/3; 1/3,0,1/3,2/3; 1/3,-2/3,-1/3,0]
18810: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/5,-2/5,2/5,-4/5; 1,1,0,0; 3/5,1/5,4/5,2/5]
19020: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3/5,2/5,2/5,-4/5; 1,1,0,0; 1/5,-1/5,4/5,2/5]
419000: GL-equivalent to harness Hanner mask 80002000a via T=[4/5,1/5,1/5,-2/5; 0,1,-1,0; 4/5,1/5,1/5,3/5; -2/5,-3/5,-3/5,1/5]
440600: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1/5,2/5,-4/5,-2/5; 3/5,4/5,2/5,1/5; 1/5,-2/5,4/5,-3/5]
4c0200: GL-equivalent to harness Hanner mask 80002000a via T=[4/5,2/5,1/5,-2/5; 0,0,-1,0; 4/5,2/5,1/5,3/5; -2/5,-6/5,-3/5,1/5]
4c0400: GL-equivalent to harness Hanner mask 80002000a via T=[1/5,-2/5,-1/5,-3/5; 3/5,4/5,-3/5,1/5; 7/5,6/5,3/5,4/5; 1/5,-2/5,-1/5,2/5]
541000: GL-equivalent to harness Hanner mask 80002000a via T=[4/5,1/5,2/5,-3/5; 2/5,3/5,-4/5,1/5; 3/5,2/5,-1/5,4/5; -1/5,-4/5,-3/5,2/5]
600202: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/5,2/5,-2/5,-2/5; 3/5,6/5,4/5,-1/5; 1/5,2/5,-2/5,3/5]
600a00: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/5,2/5,-2/5,-2/5; 2/5,4/5,1/5,1/5; 0,0,1,-1]
800c1000: GL-equivalent to harness Hanner mask 80002000a via T=[3/5,1/5,1/5,-2/5; 1/5,2/5,-3/5,1/5; 3/5,1/5,1/5,3/5; 1/5,-3/5,-3/5,1/5]
81101000: GL-equivalent to harness Hanner mask 80002000a via T=[5/9,2/9,-1/3,1/9; 1/9,4/9,1/3,-7/9; 5/9,2/9,2/3,1/9; 1/3,-2/3,0,-1/3]
900600: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/5,2/5,-4/5,-2/5; 2/5,4/5,2/5,1/5; 0,0,0,-1]
11000448: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,-1,0,0; 0,0,1/2,-1/2; 0,0,1/2,1/2]
11000450: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,1/2,1/2; 1,-1,-1/2,-1/2; 0,0,1/2,-1/2; 0,0,-1/2,-1/2]
11002440: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1,-1,1,1; 0,0,1/2,-1/2; 0,0,-1/2,-1/2]
14015: GL-equivalent to harness Hanner mask 4100104001 via T=[4,2,1,1; -2,-2,-1,-1; 0,0,1,-1; 1,1,0,0]
14025: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,1; -1,-1,-1,-1; 1,1,1,-1; 1,1,0,0]
14045: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,1; 0,0,-1,-1; 2,2,1,-1; 1,1,0,0]
140a1: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 2,1,1,1]
140a8: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,1,-1; 1,1/2,1/2,1/2]
140b0: GL-equivalent to harness Hanner mask 4100104001 via T=[4,2,1,1; -2,-2,-1,-1; 0,0,1,-1; -2,-1,-1,-1]
140e0: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,-1; 2,0,1,1; 4,2,3,1; 2,1,1,1]
14105: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,1; 0,0,-1,-1; 0,0,1,-1; 1,1,0,0]
14141: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 1,0,1,1]
14144: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,1,0,-2; 1,0,1,1]
14148: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 1,1,1,-1; 1/2,0,1/2,1/2]
14150: GL-equivalent to harness Hanner mask 4100104001 via T=[5/2,1,1/2,1/2; -1/2,-1,-1/2,-1/2; 3/2,1,3/2,-1/2; -1/2,0,-1/2,-1/2]
14160: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,1; -1,-1,-1,-1; 1,1,1,-1; -1,0,-1,-1]
141a0: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,-1; 2,0,1,1; 0,0,1,-1; 2,1,1,1]
141c0: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,1; -1,-1,-1,-1; 3,1,3,1; -1,0,-1,-1]
14205: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,1,1; 1,1,-1,-1; 1,1,1,-1; 1,1,0,0]
142a0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,-1/2; 1,-1/2,1/2,1/2; 1,1/2,3/2,-1/2; 1,1/2,1/2,1/2]
14340: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,-1,-1; 1,-1,1,1; 1,1,1,-1; 1,0,1,1]
1480280: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 0,-1,-1,0; 1/2,0,1/2,1; 1/2,0,1/2,0]
14a01: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,2,0; 0,-1,1,1]
14a08: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,1,-1; 0,-1/2,1/2,1/2]
14a20: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1/2,1/2; 0,-1/2,-1/2,-1/2; 0,1/2,1/2,-3/2; 0,1/2,-1/2,-1/2]
14a40: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,1; 0,0,-1,-1; 0,2,-1,-3; 0,1,-1,-1]
14b00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,1; 0,0,-1,-1; 0,0,1,-1; 0,1,-1,-1]
1500280: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 0,-1,-1,0; 0,0,0,1; 1/2,0,1/2,0]
15005: GL-equivalent to harness Hanner mask 4100104001 via T=[0,-2,1,1; 2,2,-1,-1; 0,0,1,-1; 1,1,0,0]
15140: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,-1/2,-1/2; 1/2,-1,1/2,1/2; 1/2,1,1/2,-3/2; 1/2,0,1/2,1/2]
154010: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 2,2,1,1; 0,0,1,-1; 1,1,0,0]
154020: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 1,1,1,1; 1,1,1,-1; 1,1,0,0]
